Unnamed: 0,id,no_civique,rue,no_local,code_postal,etage,Nom de la borne,telephone,enfant,type_etablissement,usage_1,usage_2,usage_3,type_scian,secteur_nom,classe_nom,neq,secteur_commercial,grandes_chaines,date_creation,date_modification,Longitude,Latitude
9,13ea58fc-6dc9-4586-a643-acdf292eb5a7,5954,Boulevard Bourque,,J1N 1H3,"1,2",LES AUTOMOBILES LACO 2006 INC.,819 864-6994,False,Commerce,Biens réfléchis,Vente de véhicule,Concessionnaires d'automobiles d'occasion,441120.0,Commerce de détail,Concessionnaires d'automobiles d'occasion,1163334791.0,Rock Forest - Deauville,False,2020-04-16,2024-06-20,-72.0137732,45.3565212
12,c1dab8df-e8ec-45d9-b57c-8ff8d74a6548,121,Chemin Godin,,J1R 0S6,1,AUTO REDRESSEMENT MICHEL MERCIER INC.,819 564-0997,False,Commerce de gros/para-industriel,Services aux consommateurs,Entretien automobile,"Réparation et entretien de la carrosserie, de la peinture et de l'intérieur de véhicules automobiles",811121.0,Autres services (sauf les administrations publiques),"Réparation et entretien de la carrosserie, de la peinture et de l'intérieur de véhicules automobiles",1146921649.0,Rock Forest - Deauville,False,2020-10-30,2024-08-02,-71.9989638,45.3933533
13,6263ed8a-aed6-49f8-a37f-61cba22f55dc,6618,Boulevard Bourque,,J1N 1H3,1,MAÇONNERIE TLT,819 342-1236,False,Commerce de gros/para-industriel,Construction,Construction,Entrepreneurs en travaux de maçonnerie,238140.0,Construction,Entrepreneurs en travaux de maçonnerie,1176137280.0,Rock Forest - Deauville,False,2022-08-10,2024-06-11,-72.0244579,45.3509828
15,5d744ce2-4140-4deb-81ca-5fa0a1d04abb,10240,Boulevard Bourque,,J1N 0G2,19,PUITS BERNIER (SIÈGE SOCIAL),819 346-7464,False,Commerce de gros/para-industriel,Construction,Construction,Construction d'aqueducs et d'égouts et structures connexes,237110.0,Construction,Construction d'aqueducs et d'égouts et structures connexes,1143211507.0,Rock Forest - Deauville,False,2020-09-21,2024-06-19,-72.0913937,45.30280930000001
16,afd2e862-d5f6-41f7-907d-df81b996c3ca,10201,Chemin Alexis-Contant,,J1N 3G1,1,ATELIER FOX MARINE,819 868-7001,False,Commerce,Services aux consommateurs,Réparation,Autres services de réparation et d'entretien d'articles personnels et ménagers,811490.0,Autres services (sauf les administrations publiques),Autres services de réparation et d'entretien d'articles personnels et ménagers,1171294359.0,Rock Forest - Deauville,False,2020-09-21,2024-06-19,-72.08849909999999,45.30324280000001
22,6f2aac38-62e9-486d-bcc8-49a87e0fc291,9321,Boulevard Bourque,,J1N 0G2,1,ALAIN LIZOTTE CONSTRUCTION,819 674-8997,False,Commerce de gros/para-industriel,Construction,Construction,Construction résidentielle,236110.0,Construction,Construction résidentielle,1163779854.0,Rock Forest - Deauville,False,2020-09-28,2024-07-29,-72.0769294,45.31549129999999
23,8fa8713f-4987-4ea3-8173-e00278d450e3,9250,Boulevard Bourque,,J1N 0G2,1,JW EXPRESS,819 868-1770,False,Commerce de gros/para-industriel,Transport,Transport de marchandises,"Transport par camion de marchandises diverses sur de longues distances, charge complète",484121.0,Transport et entreposage,"Transport par camion de marchandises diverses sur de longues distances, charge complète",1146631016.0,Rock Forest - Deauville,False,2020-09-21,2024-06-12,-72.0740154,45.31476149999999
24,b5cc2042-08c0-4785-b073-886909f151f9,8530,Boulevard Bourque,,J1N 0G2,"1, 2",POMPAGE DE BÉTON MC LTÉE,819 572-3135,False,Commerce de gros/para-industriel,Construction,Construction,Entrepreneurs en travaux de fondations et de structure en béton coulé,238110.0,Construction,Entrepreneurs en travaux de fondations et de structure en béton coulé,1142016568.0,Rock Forest - Deauville,False,2020-09-21,2024-06-11,-72.05782649999999,45.3260094
25,1d327fc5-2c13-4c3d-a16e-89b885e6056e,8683,Rue Saroy,,J1N 3J4,1,CLUB NAUTIQUE DU PETIT LAC MAGOG INC.,819 864-6130,False,Commerce,"Restauration, divertissement et hôtellerie",Installations sportives et de loisirs,Marinas,713930.0,"Arts, spectacles et loisirs",Marinas,1142308163.0,Rock Forest - Deauville,False,2020-09-21,2024-08-05,-72.042744,45.323182
26,81e34044-da2a-4b70-ab2a-08b64f2c4b90,3200,Chemin Saint-Roch Nord,,J1R 0H3,1,BAR LE SHELBY,819 569-9393,False,Commerce,"Restauration, divertissement et hôtellerie",Débits de boissons alcoolisées,Débits de boissons alcoolisées,722410.0,Services d'hébergement et de restauration,Débits de boissons alcoolisées,1166005422.0,Rock Forest - Deauville,False,2020-09-21,2024-07-31,-72.0411927,45.37045439999999
28,5a0643c9-770e-490f-a9ac-1c2c6d3e1652,534,Chemin Louis-Cayer,,J1R 0H7,"1, 2",SOL PERGOLA,819 300-2463,False,Commerce de gros/para-industriel,Commerce de gros,Commerce de gros,"Grossistes-marchands de machines, matériel et fournitures d'usage professionnel",417930.0,Commerce de gros,"Grossistes-marchands de machines, matériel et fournitures d'usage professionnel",1166557943.0,Rock Forest - Deauville,False,2020-09-21,2024-06-12,-72.03232009999999,45.3752043
31,dd028b5e-63f4-4ec7-969c-8bbea16d0c7e,1255,Chemin Saint-Roch Nord,,J1N 0H2,1,EMBLM,819 864-4281,False,Commerce de gros/para-industriel,Commerce de gros,Commerce de gros,Grossistes-marchands de machines et matériel de bureau et de magasin,417910.0,Commerce de gros,Grossistes-marchands de machines et matériel de bureau et de magasin,1143314756.0,Rock Forest - Deauville,False,2020-09-21,2024-07-31,-72.0311048,45.3513577
33,ed4377bb-371e-480b-a0ca-0a6a3adb521b,1230,Chemin Saint-Roch Sud,,J1N 0B2,1,BÉTON PRÉFONTAINE,819 864-0345,False,Commerce de gros/para-industriel,Construction,Construction,Entrepreneurs en travaux de fondations et de structure en béton coulé,238110.0,Construction,Entrepreneurs en travaux de fondations et de structure en béton coulé,1143741776.0,Rock Forest - Deauville,False,2020-09-21,2024-06-21,-72.0247383,45.349926700000005
34,c5d4aa82-1b8c-41d9-804d-4bcc6339bc18,6598,Boulevard Bourque,,J1N 1H3,"1,2",UNI-PRO GARAGE JEAN MATHIEU,819 612-0809,False,Commerce,Services aux consommateurs,Entretien automobile,Réparations générales de véhicules automobiles,811111.0,Autres services (sauf les administrations publiques),Réparations générales de véhicules automobiles,1165274946.0,Rock Forest - Deauville,True,2020-04-16,2024-06-11,-72.0236015,45.35124
36,1491ea51-b8cb-4001-af39-67e10b620a1f,3205,Rue Albert-Boudreau,,J1G 5J1,1,AUTOBUS DES CANTONS INC.,819 346-1995,False,Commerce de gros/para-industriel,Transport,Transport de personnes,Transport scolaire et transport d'employés par autobus,485410.0,Transport et entreposage,Transport scolaire et transport d'employés par autobus,1149295991.0,Rock Forest - Deauville,False,2020-09-21,2024-06-21,-72.02348479999999,45.349621
37,3ba8b23d-cf14-4df8-81b3-b23189cb8d85,5920,Boulevard Bourque,,J1N 1H3,1,CASERNE INCENDIE JACQUES-DENAULT,819 823-8000,False,Institution,Organismes publics et privés,Organismes publics,Services municipaux de lutte contre les incendies,913140.0,Administrations publiques,Services municipaux de lutte contre les incendies,8831854920.0,Rock Forest - Deauville,False,2020-04-16,2024-06-20,-72.0114159,45.3568787
